Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;5-Series;2017;3225000;https://auto.drom.ru/moscow/bmw/5-series/678016607.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;138 200 км;левый;;;
BMW;5-Series;2017;3055000;https://auto.drom.ru/spb/bmw/5-series/684391178.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;синий;82 700 км;левый;;;
BMW;X6;2017;3949000;https://auto.drom.ru/spb/bmw/x6/240623182.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;161 376 км;левый;2 поколение;;
BMW;3-Series;2017;2390458;https://auto.drom.ru/spb/bmw/3-series/551207504.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;автомат;4WD;лифтбек;серебристый;137 000 км;левый;;;
BMW;4-Series;2017;3300000;https://auto.drom.ru/spb/bmw/4-series/922309783.html;Год, цвет не совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;купе;черный;950 000 км;левый;1 поколение;420d AT xDrive;
BMW;X4;2017;2800000;https://auto.drom.ru/ulyanovsk/bmw/x4/497896996.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Ульяновске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;серый;97 000 км;левый;1 поколение;;
BMW;5-Series;2017;4210000;https://auto.drom.ru/moscow/bmw/5-series/54054528.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;седан;черный;57 103 км;левый;7 поколение;;
BMW;X4;2017;3089000;https://auto.drom.ru/spb/bmw/x4/184777748.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;красный;125 000 км;левый;1 поколение;;
BMW;5-Series;2017;4044000;https://auto.drom.ru/moscow/bmw/5-series/204280831.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;серый;80 848 км;левый;7 поколение;;
BMW;4-Series;2017;3400000;https://auto.drom.ru/kotlas/bmw/4-series/54055706.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Котласе;дизель, 2.0 л;190 л.с., налог;автомат;задний;лифтбек;красный;112 000 км;левый;1 поколение, рестайлинг;;
