Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;;
BMW;5-Series;2020;5790282;https://auto.drom.ru/minsk/bmw/5-series/54125036.html;;;;;Минске;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;седан;бордовый;99 000 км;левый;7 поколение, рестайлинг;540d AT xDrive;;;
BMW;3-Series;2020;2650000;https://auto.drom.ru/moscow/bmw/3-series/287572214.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;универсал;черный;175 000 км;левый;7 поколение;320d AT xDrive Base;;;
BMW;X3;2020;5145700;https://auto.drom.ru/moscow/bmw/x3/676849546.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;117 986 км;левый;3 поколение;xDrive 30d AT M Sport;;;
BMW;5-Series;2020;5000000;https://auto.drom.ru/moscow/bmw/5-series/346802313.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;черный;21 774 км;левый;7 поколение;;;;
BMW;X5;2020;9200000;https://auto.drom.ru/moscow/bmw/x5/782863832.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;60 768 км;левый;4 поколение;xDrive 30d AT M Sport Pro;;;
BMW;3-Series;2020;3449999;https://auto.drom.ru/moscow/bmw/3-series/53464271.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;99 900 км, без пробега по РФ;левый;7 поколение;320d AT xDrive M Sport Pure;;;
BMW;3-Series;2020;3787000;https://auto.drom.ru/moscow/bmw/3-series/784820008.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;156 л.с., налог;АКПП;задний;седан;белый;14 745 км;левый;7 поколение;318i AT SE;;;
BMW;X5;2020;4560000;https://auto.drom.ru/moscow/bmw/x5/398208257.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;67 122 км;левый;4 поколение;xDrive 40i AT M Sport Pro;;;
BMW;X3;2020;5870000;https://auto.drom.ru/moscow/bmw/x3/459122328.html;Цвет не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;бежевый;59 864 км;левый;3 поколение;xDrive 30d AT M Sport;;;
BMW;X4;2020;4199000;https://auto.drom.ru/spb/bmw/x4/146504895.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;синий;144 025 км;левый;2 поколение;xDrive 20d AT M Sport;;;
BMW;X7;2020;8500000;https://auto.drom.ru/spb/bmw/x7/52521226.html;;;;;Санкт-Петербурге;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;синий;38 000 км;левый;1 поколение;xDrive40i AT Exclusive;;;
BMW;5-Series;2020;6900000;https://auto.drom.ru/moscow/bmw/5-series/836421663.html;;;;;Москве;бензин, 3.0 л;333 л.с., налог;АКПП;задний;седан;черный;9 700 км;левый;7 поколение, рестайлинг;540i AT;документы с проблемами или отсутствуют;;
BMW;X3;2020;4400000;https://auto.drom.ru/ulyanovsk/bmw/x3/53654351.html;;;;;Ульяновске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;63 000 км;левый;3 поколение;xDrive 20d AT xLine;;;
BMW;X7;2020;11200000;https://auto.drom.ru/moscow/bmw/x7/405254230.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;29 550 км;левый;1 поколение;xDrive30d AT M Sport Pro;;;
BMW;X5;2020;6450000;https://auto.drom.ru/moscow/bmw/x5/53473129.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;97 705 км;левый;4 поколение;xDrive30d AT M Sport;;;
BMW;X2;2020;3699000;https://auto.drom.ru/yaroslavl/bmw/x2/53470165.html;;;;;Ярославле;бензин, 2.0 л;231 л.с., налог;автомат;4WD;;белый;27 686 км;левый;;;;;
BMW;1-Series;2020;2365321;https://auto.drom.ru/spb/bmw/1-series/53466409.html;;;;;Санкт-Петербурге;дизель, 2.0 л;150 л.с., налог;автомат;передний;хэтчбек 5 дв.;черный;117 026 км;левый;;;;;
