Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;X3;2013;2200000;https://auto.drom.ru/moscow/bmw/x3/569898283.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;;черный;156 700 км;левый;2 поколение;;;
BMW;5-Series;2013;1950000;https://auto.drom.ru/spb/bmw/5-series/267389006.html;Цвет не совпадает с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;240 000 км;левый;6 поколение;520d AT;;
BMW;X3;2013;1738000;https://auto.drom.ru/moscow/bmw/x3/54098197.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;синий;213 743 км;левый;2 поколение;;;
BMW;3-Series;2013;1485000;https://auto.drom.ru/kazan/bmw/3-series/54094079.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 1.6 л;136 л.с., налог;АКПП;задний;седан;белый;169 262 км;левый;6 поколение;;;
BMW;X5;2013;2698000;https://auto.drom.ru/nizhniy-novgorod/bmw/x5/54093088.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;коричневый;198 000 км;левый;2 поколение, рестайлинг;;;
BMW;X5;2013;1577000;https://auto.drom.ru/spb/bmw/x5/53810505.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;белый;227 068 км;левый;;;;
BMW;7-Series;2013;1990000;https://auto.drom.ru/moscow/bmw/7-series/53431069.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;449 л.с., налог;АКПП;4WD;;черный;186 000 км;левый;5 поколение, рестайлинг;;;
BMW;5-Series;2013;2600000;https://auto.drom.ru/pushkino/bmw/5-series/53004293.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Пушкино;дизель, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;93 000 км;левый;6 поколение, рестайлинг;;;
BMW;3-Series;2013;1700000;https://auto.drom.ru/kazan/bmw/3-series/623249132.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;седан;коричневый;210 000 км;левый;6 поколение;320d AT xDrive Sport Line;;
BMW;3-Series;2013;1420000;https://auto.drom.ru/moscow/bmw/3-series/53671346.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;2.0 л;;автомат;;седан;белый;192 000 км;левый;6 поколение;;;
BMW;5-Series;2013;2370000;https://auto.drom.ru/moscow/bmw/5-series/285573315.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;218 л.с., налог;АКПП;4WD;седан;белый;120 000 км;левый;6 поколение;;;
BMW;3-Series;2013;1100000;https://auto.drom.ru/moscow/bmw/3-series/570957111.html;Год не совпадает с ПТС;14 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;250 000 км;левый;6 поколение;320i AT;;
BMW;3-Series;2013;1959789;https://auto.drom.ru/spb/bmw/3-series/501466701.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;седан;белый;166 700 км;левый;6 поколение;;;
BMW;3-Series;2013;1670000;https://auto.drom.ru/moscow/bmw/3-series/53408417.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;синий;93 400 км;левый;6 поколение;;;
BMW;3-Series;2013;1700000;https://auto.drom.ru/korolev/bmw/3-series/854882832.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Королёве;бензин, 1.6 л;136 л.с., налог;АКПП;задний;седан;синий;124 000 км;левый;6 поколение;;;
BMW;1-Series;2013;1690000;https://auto.drom.ru/spb/bmw/1-series/53394494.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.6 л;170 л.с., налог;АКПП;задний;хэтчбек 5 дв.;черный;67 000 км;левый;2 поколение;118i AT Sport;;
BMW;X3;2013;1658763;https://auto.drom.ru/minsk/bmw/x3/52991785.html;;;;;Минске;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;;147 900 км;левый;2 поколение;;;
BMW;3-Series Gran Turismo;2013;1765000;https://auto.drom.ru/moscow/bmw/3-series_gran_turismo/54087321.html;Модель не совпадает с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;автомат;задний;;черный;168 960 км;левый;;;;
BMW;7-Series;2013;1950000;https://auto.drom.ru/moscow/bmw/7-series/54081202.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;320 л.с., налог;АКПП;4WD;;черный;175 942 км;левый;5 поколение, рестайлинг;740Li AT xDrive;;
BMW;5-Series;2013;1900000;https://auto.drom.ru/moscow/bmw/5-series/621688249.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;204 249 км;левый;6 поколение;;;
