Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;8-Series;2019;8500000;https://auto.drom.ru/spb/bmw/8-series/353227132.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;купе;серый;28 000 км;левый;2 поколение;840d AT xDrive Base;
BMW;X2;2019;3350000;https://auto.drom.ru/togliatti/bmw/x2/598790082.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Тольятти;бензин, 2.0 л;192 л.с., налог;АКПП;4WD;;синий;29 800 км;левый;1 поколение;xDrive 20i AT M Sport;
BMW;X5;2019;7850000;https://auto.drom.ru/moscow/bmw/x5/592644190.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;черный;68 675 км;левый;4 поколение;;
BMW;X3;2019;4850000;https://auto.drom.ru/moscow/bmw/x3/184243394.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;автомат;4WD;;синий;79 582 км;левый;;;
BMW;X5;2019;6830000;https://auto.drom.ru/solnechnogorsk/bmw/x5/668946723.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Солнечногорске;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;синий;83 848 км;левый;4 поколение;;
BMW;X6;2019;8124000;https://auto.drom.ru/moscow/bmw/x6/910574076.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;100 205 км;левый;3 поколение;;
BMW;3-Series;2019;3180000;https://auto.drom.ru/moscow/bmw/3-series/53629713.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;98 000 км;левый;;;
BMW;3-Series;2019;3990000;https://auto.drom.ru/moscow/bmw/3-series/53963483.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;седан;синий;60 440 км;левый;;;
BMW;5-Series;2019;4350000;https://auto.drom.ru/moscow/bmw/5-series/52750263.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;черный;63 146 км;левый;7 поколение;;
BMW;X7;2019;7100000;https://auto.drom.ru/moscow/bmw/x7/52399039.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;серый;98 100 км;левый;1 поколение;;
BMW;X2;2019;3700000;https://auto.drom.ru/moscow/bmw/x2/400191787.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;механика;4WD;;золотистый;29 000 км;левый;1 поколение;xDrive 18d MT Base;
